t,n,SortTime,CombineTime,TotalTime
1,1000,372165,21821,393986
1,1000,466131,22471,488602
1,1000,430081,22135,452216
1,1000,444601,168972,613573
1,1000,475421,27610,503031
1,1000,484173,25879,510052
1,1000,519794,21805,541599
1,1000,362370,23157,385527
1,1000,347540,21901,369441
1,1000,462661,28584,491245
1,1000,490485,22911,513396
1,1000,399046,23401,422447
1,1000,472103,24994,497097
1,1000,523987,22649,546636
1,1000,402889,22657,425546
1,1000,475017,21690,496707
1,1000,470098,22508,492606
1,1000,431658,22064,453722
1,1000,411926,25427,437353
1,1000,349128,25537,374665
1,1000,354723,20857,375580
1,1000,490666,23141,513807
1,1000,435144,22505,457649
1,1000,453074,24684,477758
1,1000,453803,21319,475122
1,1000,407312,22879,430191
1,1000,344540,22444,366984
1,1000,443143,22210,465353
1,1000,481238,25156,506394
1,1000,517958,112057,630015
1,1000,452545,30159,482704
1,1000,457004,21706,478710
1,1000,400177,22894,423071
1,1000,452534,23618,476152
1,1000,486425,22420,508845
1,1000,448695,24903,473598
1,1000,473205,22008,495213
1,1000,327684,21958,349642
1,1000,459495,22439,481934
1,1000,465878,24089,489967
1,1000,465854,23128,488982
1,1000,347478,21020,368498
1,1000,391201,24290,415491
1,1000,454036,22257,476293
1,1000,451346,25270,476616
1,1000,384396,30475,414871
1,1000,422963,24550,447513
1,1000,447544,25714,473258
1,1000,377472,23074,400546
1,1000,441651,32538,474189
1,1000,341471,20852,362323
1,1000,463357,22037,485394
1,1000,458287,23174,481461
1,1000,421868,22239,444107
1,1000,469159,22773,491932
1,1000,447642,21915,469557
1,1000,472423,24382,496805
1,1000,484869,23022,507891
1,1000,349544,19513,369057
1,1000,524139,24889,549028
1,1000,466438,25339,491777
1,1000,477449,24851,502300
1,1000,483886,28837,512723
1,1000,452029,25580,477609
1,1000,386185,22388,408573
1,1000,415654,25633,441287
1,1000,348014,21538,369552
1,1000,422884,22777,445661
1,1000,467866,23473,491339
1,1000,372498,24095,396593
1,1000,349032,23108,372140
1,1000,348516,20514,369030
1,1000,558899,22418,581317
1,1000,472439,27716,500155
1,1000,378400,26183,404583
1,1000,350423,22746,373169
1,1000,453019,22124,475143
1,1000,409234,22733,431967
1,1000,470931,22564,493495
1,1000,469897,21493,491390
1,1000,440102,22496,462598
1,1000,468640,24013,492653
1,1000,475124,24996,500120
1,1000,430079,22458,452537
1,1000,452113,23428,475541
1,1000,451487,22835,474322
1,1000,420552,21681,442233
1,1000,457724,87579,545303
1,1000,452093,26590,478683
1,1000,486321,22547,508868
1,1000,451346,118511,569857
1,1000,423882,21116,444998
1,1000,415503,22335,437838
1,1000,479674,22429,502103
1,1000,335863,21926,357789
1,1000,506976,22609,529585
1,1000,486219,21579,507798
1,1000,450180,23013,473193
1,1000,346322,22006,368328
1,1000,346793,24322,371115
1,1000,451569,32683,484252
1,1000,461644,25656,487300
1,1000,476704,22655,499359
1,1000,413877,22681,436558
1,1000,400430,22470,422900
1,1000,464044,24047,488091
1,1000,357343,26993,384336
1,1000,468282,25278,493560
1,1000,420095,24926,445021
1,1000,468698,22949,491647
1,1000,485231,21468,506699
1,1000,453033,22890,475923
1,1000,451829,26839,478668
1,1000,437309,25571,462880
1,1000,458496,22795,481291
1,2000,686087,35860,721947
1,2000,751918,35445,787363
1,2000,676204,37555,713759
1,2000,760637,34516,795153
1,2000,755364,34367,789731
1,2000,728743,35230,763973
1,2000,652166,34542,686708
1,2000,748886,31707,780593
1,2000,752803,35107,787910
1,2000,731655,41774,773429
1,2000,751286,35639,786925
1,2000,778330,37940,816270
1,2000,725020,35087,760107
1,2000,662896,39665,702561
1,2000,739479,37095,776574
1,2000,735851,36157,772008
1,2000,642232,34755,676987
1,2000,638157,33517,671674
1,2000,650455,34567,685022
1,2000,668126,37958,706084
1,2000,665186,31904,697090
1,2000,740668,42639,783307
1,2000,748009,35116,783125
1,2000,731924,41477,773401
1,2000,754325,31553,785878
1,2000,754148,35039,789187
1,2000,726869,39158,766027
1,2000,642043,36832,678875
1,2000,744862,34333,779195
1,2000,703527,34413,737940
1,2000,678568,31650,710218
1,2000,652336,34948,687284
1,2000,649062,30737,679799
1,2000,678885,36408,715293
1,2000,641486,32816,674302
1,2000,745125,36825,781950
1,2000,693364,33195,726559
1,2000,686067,36304,722371
1,2000,753277,31669,784946
1,2000,643284,35281,678565
1,2000,635971,34580,670551
1,2000,739160,36489,775649
1,2000,763381,36422,799803
1,2000,644130,31516,675646
1,2000,735079,38079,773158
1,2000,684504,33423,717927
1,2000,627694,33553,661247
1,2000,642768,32386,675154
1,2000,690603,32317,722920
1,2000,661961,34177,696138
1,2000,730069,36386,766455
1,2000,639924,33915,673839
1,2000,732932,37187,770119
1,2000,800428,38994,839422
1,2000,651618,34321,685939
1,2000,775801,38927,814728
1,2000,757990,32224,790214
1,2000,748906,33955,782861
1,2000,739953,37352,777305
1,2000,642432,31175,673607
1,2000,742834,32933,775767
1,2000,657804,32844,690648
1,2000,730476,38161,768637
1,2000,749348,37444,786792
1,2000,726417,33891,760308
1,2000,746110,34387,780497
1,2000,751557,33543,785100
1,2000,646117,33967,680084
1,2000,756955,31632,788587
1,2000,626669,36846,663515
1,2000,741105,38748,779853
1,2000,682775,35400,718175
1,2000,650436,33858,684294
1,2000,746654,32783,779437
1,2000,758729,41484,800213
1,2000,747669,37085,784754
1,2000,745499,37222,782721
1,2000,749437,36795,786232
1,2000,599010,34583,633593
1,2000,752893,34691,787584
1,2000,644691,33390,678081
1,2000,633458,38439,671897
1,2000,605248,33801,639049
1,2000,723835,35676,759511
1,2000,729069,42723,771792
1,2000,767589,36080,803669
1,2000,744974,34754,779728
1,2000,755805,34297,790102
1,2000,753691,52196,805887
1,2000,635907,34392,670299
1,2000,762926,32782,795708
1,2000,648854,32892,681746
1,2000,679652,34542,714194
1,2000,753334,41750,795084
1,2000,754224,35967,790191
1,2000,637705,37348,675053
1,2000,759161,34273,793434
1,2000,697735,34955,732690
1,2000,649190,32885,682075
1,2000,704756,33004,737760
1,2000,743570,31238,774808
1,2000,671432,34486,705918
1,2000,751500,32293,783793
1,2000,756693,40243,796936
1,2000,734947,43430,778377
1,2000,747733,32006,779739
1,2000,686403,34348,720751
1,2000,629936,39043,668979
1,2000,724980,39869,764849
1,2000,735374,39838,775212
1,2000,749663,38200,787863
1,2000,726088,34308,760396
1,2000,762199,32115,794314
1,2000,643066,34273,677339
1,2000,635458,32294,667752
1,3000,979318,51137,1030455
1,3000,1043570,42336,1085906
1,3000,1028958,47797,1076755
1,3000,1052286,45136,1097422
1,3000,927538,41632,969170
1,3000,1032301,47620,1079921
1,3000,1045634,46410,1092044
1,3000,923616,50787,974403
1,3000,937362,46312,983674
1,3000,1085803,198247,1284050
1,3000,935668,48259,983927
1,3000,1049188,49190,1098378
1,3000,1125211,45252,1170463
1,3000,1074276,48356,1122632
1,3000,955561,48415,1003976
1,3000,970039,45179,1015218
1,3000,1039135,45627,1084762
1,3000,1029741,44616,1074357
1,3000,970644,45401,1016045
1,3000,1038923,45321,1084244
1,3000,1094941,45224,1140165
1,3000,1038765,48004,1086769
1,3000,928534,49213,977747
1,3000,1112591,46660,1159251
1,3000,1034198,47401,1081599
1,3000,1044482,45357,1089839
