t,n,SortTime,CombineTime,TotalTime
8,3000,4124569,385946,4510515
8,3000,4052370,293139,4345509
8,3000,4782744,359856,5142600
8,3000,4263049,252685,4515734
8,3000,4427417,376707,4804124
8,3000,3656782,382402,4039184
8,3000,4555597,372400,4927997
8,3000,4217107,254598,4471705
8,3000,4231017,355382,4586399
8,3000,4610837,391311,5002148
8,3000,4356765,378348,4735113
8,3000,4135567,356984,4492551
8,3000,4509115,355744,4864859
8,3000,4018825,256216,4275041
8,3000,4172633,261491,4434124
8,3000,4111643,359753,4471396
8,3000,4044415,256596,4301011
8,3000,4085624,363772,4449396
8,3000,4380503,361904,4742407
8,3000,3624929,303450,3928379
8,3000,4005752,255276,4261028
8,3000,4476541,276257,4752798
8,3000,3647561,271778,3919339
8,3000,4169768,375096,4544864
8,3000,4303376,360734,4664110
8,3000,4189797,300933,4490730
8,3000,3663202,366256,4029458
8,3000,4091400,357271,4448671
8,3000,3725814,337965,4063779
8,3000,4593595,296476,4890071
8,3000,4711655,374349,5086004
8,3000,3907115,272264,4179379
8,3000,3709729,271786,3981515
8,3000,3868144,312435,4180579
8,3000,4252091,254385,4506476
8,3000,3992799,364301,4357100
8,3000,4002359,320443,4322802
8,3000,4232808,360730,4593538
8,3000,3718861,265490,3984351
8,3000,3968620,253672,4222292
8,3000,3914012,364111,4278123
8,3000,3653501,395801,4049302
8,3000,4278387,327667,4606054
8,3000,4026920,358064,4384984
8,3000,4378169,359840,4738009
8,3000,3764599,306383,4070982
8,3000,4651492,391212,5042704
8,3000,3893749,270518,4164267
8,3000,4162065,255153,4417218
8,3000,4363165,361876,4725041
8,3000,4227463,351968,4579431
8,3000,4095223,357404,4452627
8,3000,3610181,292153,3902334
8,3000,3918856,366016,4284872
8,3000,4329296,357353,4686649
8,3000,3691425,295518,3986943
8,3000,3675307,366085,4041392
8,3000,3800083,306171,4106254
8,3000,4228198,275381,4503579
8,3000,3934189,357221,4291410
8,3000,4024909,353216,4378125
8,3000,3879790,360271,4240061
8,3000,4593989,389444,4983433
8,3000,3513003,266165,3779168
8,3000,3753753,401543,4155296
8,3000,4059337,270467,4329804
8,3000,4291275,361930,4653205
8,3000,5038089,379033,5417122
8,3000,4204064,253715,4457779
8,3000,4116422,373260,4489682
8,3000,3951671,370746,4322417
8,3000,3965101,359128,4324229
8,3000,4256470,258300,4514770
8,3000,3790643,358241,4148884
8,3000,4058739,251713,4310452
8,3000,4135198,367501,4502699
8,3000,4452618,340086,4792704
8,3000,4885748,384758,5270506
8,3000,4255280,299736,4555016
8,3000,4400108,269756,4669864
8,3000,3953858,306348,4260206
8,3000,4022895,258267,4281162
