ExecuteDtTm,t,n,SortTime,CombineTime,TotalTime
9/14/2013 12:48,1,1000,15,17,32
9/14/2013 12:48,1,1000,15,17,32
9/14/2013 12:48,1,1000,15,16,31
9/14/2013 12:48,1,1000,15,16,31
9/14/2013 12:48,1,1000,15,17,32
9/14/2013 12:48,1,1000,15,16,31
9/14/2013 12:48,1,1000,15,16,31
9/14/2013 12:48,1,1000,14,17,31
9/14/2013 12:48,1,1000,14,16,30
9/14/2013 12:48,1,1000,15,17,32
9/14/2013 12:48,1,1000,15,14,29
9/14/2013 12:48,1,1000,14,16,30
9/14/2013 12:48,1,1000,15,16,31
9/14/2013 12:48,1,1000,14,13,27
9/14/2013 12:48,1,1000,15,18,33
9/14/2013 12:48,1,1000,15,17,32
9/14/2013 12:48,1,1000,15,18,33
9/14/2013 12:48,1,1000,15,17,32
9/14/2013 12:48,1,1000,15,18,33
9/14/2013 12:48,1,1000,15,13,28
9/14/2013 12:48,1,1000,15,16,31
9/14/2013 12:48,1,1000,14,14,28
9/14/2013 12:48,1,1000,14,15,29
9/14/2013 12:48,1,1000,13,13,26
9/14/2013 12:48,1,1000,14,16,30
9/14/2013 12:49,1,1000,15,18,33
9/14/2013 12:49,1,1000,14,19,33
9/14/2013 12:49,1,1000,15,17,32
9/14/2013 12:49,1,1000,15,15,30
9/14/2013 12:49,1,1000,14,17,31
9/14/2013 12:49,1,1000,15,17,32
9/14/2013 12:49,1,1000,15,16,31
9/14/2013 12:49,1,1000,15,16,31
9/14/2013 12:49,1,1000,15,17,32
9/14/2013 12:49,1,1000,15,16,31
9/14/2013 12:49,1,1000,15,18,33
9/14/2013 12:49,1,1000,15,16,31
9/14/2013 12:49,1,1000,15,16,31
9/14/2013 12:49,1,1000,14,17,31
9/14/2013 12:49,1,1000,15,16,31
9/14/2013 12:49,1,1000,15,17,32
9/14/2013 12:49,1,1000,15,16,31
9/14/2013 12:49,1,1000,15,15,30
9/14/2013 12:49,1,1000,15,16,31
9/14/2013 12:49,1,1000,15,16,31
9/14/2013 12:49,1,1000,14,16,30
9/14/2013 12:49,1,1000,15,17,32
9/14/2013 12:49,1,1000,14,18,32
9/14/2013 12:49,1,1000,15,16,31
9/14/2013 12:49,1,1000,15,16,31
9/14/2013 12:49,1,1000,14,17,31
9/14/2013 12:49,1,1000,15,16,31
9/14/2013 12:49,1,1000,15,17,32
9/14/2013 12:49,1,1000,13,16,29
9/14/2013 12:49,1,1000,13,15,28
9/14/2013 12:49,1,1000,14,17,31
9/14/2013 12:49,1,1000,14,15,29
9/14/2013 12:50,1,1000,14,18,32
9/14/2013 12:50,1,1000,15,17,32
9/14/2013 12:50,1,1000,15,16,31
9/14/2013 12:50,1,1000,15,15,30
9/14/2013 12:50,1,1000,14,17,31
9/14/2013 12:50,1,1000,13,17,30
9/14/2013 12:50,1,1000,15,17,32
9/14/2013 12:50,1,1000,14,17,31
9/14/2013 12:50,1,1000,15,17,32
9/14/2013 12:50,1,1000,15,18,33
9/14/2013 12:50,1,1000,14,17,31
9/14/2013 12:50,1,1000,14,15,29
9/14/2013 12:50,1,1000,15,18,33
9/14/2013 12:50,1,1000,14,16,30
9/14/2013 12:50,1,1000,15,17,32
9/14/2013 12:50,1,1000,15,15,30
9/14/2013 12:50,1,1000,15,16,31
9/14/2013 12:50,1,1000,15,16,31
9/14/2013 12:50,1,1000,14,16,30
9/14/2013 12:50,1,1000,15,16,31
9/14/2013 12:50,1,1000,15,18,33
9/14/2013 12:50,1,1000,15,17,32
9/14/2013 12:50,1,1000,15,16,31
9/14/2013 12:50,1,1000,15,17,32
9/14/2013 12:50,1,1000,13,16,29
9/14/2013 12:50,1,1000,15,18,33
9/14/2013 12:50,1,1000,13,16,29
9/14/2013 12:50,1,1000,15,15,30
9/14/2013 12:50,1,1000,14,15,29
9/14/2013 12:50,1,1000,15,16,31
9/14/2013 12:50,1,1000,15,19,34
9/14/2013 12:50,1,1000,14,17,31
9/14/2013 12:51,1,1000,14,14,28
