ExecuteDtTm,t,n,SortTime,CombineTime,TotalTime
9/19/2013 8:28,6,10000000,1935,1499,3434
9/19/2013 8:28,6,10000000,1718,1460,3178
9/19/2013 8:28,6,10000000,1863,1522,3385
9/19/2013 8:28,6,10000000,2058,1602,3660
9/19/2013 8:28,6,10000000,1710,1533,3243
9/19/2013 8:29,6,10000000,1752,1562,3314
9/19/2013 8:29,6,10000000,1822,1606,3428
9/19/2013 8:29,6,10000000,1858,1461,3319
9/19/2013 8:29,6,10000000,1824,1480,3304
9/19/2013 8:29,6,10000000,1863,1504,3367
9/19/2013 8:29,6,10000000,1746,1566,3312
9/19/2013 8:29,6,10000000,1853,1558,3411
9/19/2013 8:29,6,10000000,1596,1734,3330
9/19/2013 8:29,6,10000000,1768,1495,3263
9/19/2013 8:29,6,10000000,1860,1491,3351
9/19/2013 8:30,6,10000000,1813,1498,3311
9/19/2013 8:30,6,10000000,1861,1528,3389
9/19/2013 8:30,6,10000000,1879,1535,3414
9/19/2013 8:30,6,10000000,1673,1540,3213
9/19/2013 8:30,6,10000000,1803,1591,3394
9/19/2013 8:30,6,10000000,1503,1568,3071
9/19/2013 8:30,6,10000000,2168,1550,3718
9/19/2013 8:30,6,10000000,1806,1566,3372
9/19/2013 8:30,6,10000000,1789,1488,3277
9/19/2013 8:30,6,10000000,2541,1601,4142
9/19/2013 8:31,6,10000000,1695,1553,3248
9/19/2013 8:31,6,10000000,2145,1558,3703
9/19/2013 8:31,6,10000000,1848,1511,3359
9/19/2013 8:31,6,10000000,2143,1562,3705
9/19/2013 8:31,6,10000000,1842,1579,3421
9/19/2013 8:31,6,10000000,1815,1542,3357
9/19/2013 8:31,6,10000000,1792,1496,3288
9/19/2013 8:31,6,10000000,1717,1495,3212
9/19/2013 8:31,6,10000000,1516,1568,3084
9/19/2013 8:31,6,10000000,1907,1544,3451
9/19/2013 8:32,6,10000000,1936,1498,3434
9/19/2013 8:32,6,10000000,1870,1522,3392
9/19/2013 8:32,6,10000000,1821,1486,3307
9/19/2013 8:32,6,10000000,1610,1692,3302
9/19/2013 8:32,6,10000000,1650,1657,3307
9/19/2013 8:32,6,10000000,1782,1489,3271
9/19/2013 8:32,6,10000000,1706,1731,3437
9/19/2013 8:32,6,10000000,1822,1544,3366
9/19/2013 8:32,6,10000000,1751,1548,3299
9/19/2013 8:32,6,10000000,1830,1572,3402
9/19/2013 8:33,6,10000000,1872,1568,3440
9/19/2013 8:33,6,10000000,1587,1581,3168
9/19/2013 8:33,6,10000000,1860,1556,3416
9/19/2013 8:33,6,10000000,1772,1496,3268
9/19/2013 8:33,6,10000000,1755,1560,3315
9/19/2013 8:33,6,10000000,1786,1559,3345
9/19/2013 8:33,6,10000000,2070,1464,3534
9/19/2013 8:33,6,10000000,2094,1502,3596
9/19/2013 8:33,6,20000000,3384,2998,6382
9/19/2013 8:34,6,20000000,3350,3014,6364
9/19/2013 8:34,6,20000000,3441,2965,6406
9/19/2013 8:34,6,20000000,3468,2827,6295
9/19/2013 8:34,6,20000000,3339,2973,6312
9/19/2013 8:34,6,20000000,3717,2890,6607
9/19/2013 8:34,6,20000000,3498,3322,6820
9/19/2013 8:35,6,20000000,3904,2932,6836
9/19/2013 8:35,6,20000000,3358,2991,6349
9/19/2013 8:35,6,20000000,3656,2995,6651
9/19/2013 8:35,6,20000000,3432,2972,6404
9/19/2013 8:35,6,20000000,3480,3032,6512
9/19/2013 8:35,6,20000000,3385,2893,6278
9/19/2013 8:35,6,20000000,3528,2861,6389
9/19/2013 8:36,6,20000000,3330,2915,6245
9/19/2013 8:36,6,20000000,3649,2896,6545
9/19/2013 8:36,6,20000000,3471,2958,6429
9/19/2013 8:36,6,20000000,3440,2969,6409
9/19/2013 8:36,6,20000000,3677,2852,6529
9/19/2013 8:36,6,20000000,3534,2900,6434
9/19/2013 8:37,6,20000000,3439,3160,6599
9/19/2013 8:37,6,20000000,3458,3015,6473
9/19/2013 8:37,6,20000000,3489,2933,6422
9/19/2013 8:37,6,20000000,3441,2856,6297
9/19/2013 8:37,6,20000000,3447,2879,6326
9/19/2013 8:37,6,20000000,3258,3008,6266
9/19/2013 8:38,6,20000000,3339,2840,6179
9/19/2013 8:38,6,20000000,3670,2861,6531
9/19/2013 8:38,6,20000000,3359,3063,6422
9/19/2013 8:38,6,20000000,3493,2755,6248
9/19/2013 8:38,6,20000000,3679,2854,6533
9/19/2013 8:38,6,20000000,3500,3029,6529
9/19/2013 8:38,6,20000000,3347,3031,6378
9/19/2013 8:39,6,20000000,3606,2935,6541
9/19/2013 8:39,6,20000000,3481,2897,6378
9/19/2013 8:39,6,20000000,3295,3011,6306
9/19/2013 8:39,6,20000000,3535,2906,6441
9/19/2013 8:39,6,20000000,3698,2863,6561
9/19/2013 8:39,6,20000000,3529,2985,6514
9/19/2013 8:40,6,20000000,3271,2996,6267
9/19/2013 8:40,6,20000000,3303,3006,6309
9/19/2013 8:40,6,20000000,3572,2932,6504
9/19/2013 8:40,6,20000000,3531,2976,6507
9/19/2013 8:40,6,20000000,3356,2885,6241
9/19/2013 8:40,6,20000000,3298,2955,6253
9/19/2013 8:41,6,20000000,3667,2914,6581
9/19/2013 8:41,6,20000000,3334,3031,6365
9/19/2013 8:41,6,20000000,3466,2862,6328
9/19/2013 8:41,6,20000000,3324,3047,6371
9/19/2013 8:41,6,20000000,3567,2892,6459
9/19/2013 8:41,6,20000000,3660,2917,6577
9/19/2013 8:42,6,20000000,3342,3947,7289
9/19/2013 8:42,6,20000000,3429,3040,6469
9/19/2013 8:42,6,20000000,3629,2879,6508
9/19/2013 8:42,6,20000000,3277,2972,6249
9/19/2013 8:42,6,20000000,3410,2867,6277
9/19/2013 8:42,6,20000000,3534,2846,6380
9/19/2013 8:43,6,20000000,3227,3080,6307
9/19/2013 8:43,6,20000000,3500,2882,6382
9/19/2013 8:43,6,20000000,3370,2831,6201
9/19/2013 8:43,6,20000000,3840,2882,6722
9/19/2013 8:43,6,20000000,3785,2899,6684
9/19/2013 8:43,6,20000000,3545,2853,6398
9/19/2013 8:43,6,20000000,3553,2958,6511
9/19/2013 8:44,6,20000000,3487,3013,6500
9/19/2013 8:44,6,20000000,3318,2824,6142
9/19/2013 8:44,6,20000000,3469,3010,6479
9/19/2013 8:44,6,20000000,3424,2972,6396
9/19/2013 8:44,6,20000000,3515,3022,6537
9/19/2013 8:44,6,20000000,3396,2883,6279
9/19/2013 8:45,6,20000000,3703,2855,6558
9/19/2013 8:45,6,20000000,3370,3051,6421
9/19/2013 8:45,6,20000000,3624,2992,6616
9/19/2013 8:45,6,20000000,3260,3002,6262
9/19/2013 8:45,6,20000000,3323,2984,6307
