,T,N,SortTime,CombineTime,
8/19/2013 6:56,32,100,12,15,
8/19/2013 6:57,32,100,7,7,
8/21/2013 10:51,32,100,14,7,
8/21/2013 10:52,4,100,4,3,
8/21/2013 10:52,4,100,4,4,
8/21/2013 10:52,8,200,4,9,
8/21/2013 10:54,8,10000000,515,23445,
8/21/2013 10:54,32,10000000,483,5662,
8/21/2013 10:56,32,10000000,512,5858,
8/21/2013 10:57,64,10000000,484,40590,
8/21/2013 10:58,64,10000000,482,41135,
8/21/2013 10:59,64,10000000,476,15873,
8/21/2013 11:02,64,10000000,479,7,
8/21/2013 11:03,64,10000000,480,8,
8/21/2013 11:03,64,10000000,652,2365,
8/21/2013 11:04,64,10000000,479,8,
8/21/2013 11:04,16,10000000,537,10296,
8/21/2013 11:06,16,10000000,523,31370,
8/21/2013 11:06,64,10000000,479,7,
8/21/2013 11:08,64,10000000,477,7,
8/21/2013 11:15,4,100,4,3,
8/21/2013 11:15,4,100,4,4,
8/21/2013 11:15,16,64000,13,41,
8/21/2013 11:15,2,64000,15,30,
8/21/2013 11:17,4,100,4,4,
8/21/2013 11:34,32,64000,15,52,
8/21/2013 11:35,64,64000,15,53,
8/21/2013 11:36,128,64000,18,89,
8/21/2013 11:36,256,64000,28,86,
8/21/2013 11:37,256,128000,33,139,
8/21/2013 11:55,2,100,5,4,
8/21/2013 11:55,2,100,7,4,
8/21/2013 11:55,2,100,4,4,
8/21/2013 11:55,2,100,5,4,
8/21/2013 11:55,2,100,5,4,
8/21/2013 11:55,2,100,7,4,
8/21/2013 11:55,2,100,5,4,
8/21/2013 11:55,2,100,6,5,
8/21/2013 11:55,2,100,5,4,
8/21/2013 11:55,2,100,5,5,
8/21/2013 11:55,2,200,6,5,
8/21/2013 11:55,2,200,5,5,
8/21/2013 11:55,2,200,5,5,
8/21/2013 11:55,2,200,5,5,
8/21/2013 11:55,2,200,5,4,
8/21/2013 11:55,2,200,5,6,
8/21/2013 11:55,2,200,5,5,
8/21/2013 11:55,2,200,6,5,
8/21/2013 11:55,2,200,5,5,
8/21/2013 11:55,2,200,5,5,
8/21/2013 11:55,2,300,5,6,
8/21/2013 11:55,2,300,5,6,
8/21/2013 11:55,2,300,5,5,
8/21/2013 11:55,2,300,6,6,
8/21/2013 11:55,2,300,6,5,
8/21/2013 11:55,2,300,6,5,
8/21/2013 11:55,2,300,6,6,
8/21/2013 11:55,2,300,8,6,
8/21/2013 11:55,2,300,6,6,
8/21/2013 11:55,2,300,5,6,
8/21/2013 11:55,2,400,6,7,
8/21/2013 11:55,2,400,6,6,
8/21/2013 11:55,2,400,6,6,
