,n,TotalTime
8/21/2013 1:04,10000,4
8/21/2013 1:04,10000,5
8/21/2013 1:04,10000,4
8/21/2013 1:04,10000,4
8/21/2013 1:04,10000,4
8/21/2013 1:04,10000,4
8/21/2013 1:04,10000,4
8/21/2013 1:04,10000,5
8/21/2013 1:04,10000,4
8/21/2013 1:04,10000,4
8/21/2013 1:04,20000,6
8/21/2013 1:04,20000,7
8/21/2013 1:04,20000,7
8/21/2013 1:04,20000,7
8/21/2013 1:04,20000,7
8/21/2013 1:04,20000,7
8/21/2013 1:04,20000,7
8/21/2013 1:04,20000,7
8/21/2013 1:04,20000,7
8/21/2013 1:04,20000,7
8/21/2013 1:04,30000,8
8/21/2013 1:04,30000,8
8/21/2013 1:04,30000,7
8/21/2013 1:04,30000,8
8/21/2013 1:04,30000,8
8/21/2013 1:04,30000,8
8/21/2013 1:04,30000,8
8/21/2013 1:04,30000,8
8/21/2013 1:04,30000,8
8/21/2013 1:04,30000,8
8/21/2013 1:04,40000,10
8/21/2013 1:04,40000,10
8/21/2013 1:04,40000,10
8/21/2013 1:04,40000,10
8/21/2013 1:04,40000,10
8/21/2013 1:04,40000,10
8/21/2013 1:04,40000,11
8/21/2013 1:04,40000,9
8/21/2013 1:04,40000,9
8/21/2013 1:04,40000,10
8/21/2013 1:04,50000,13
8/21/2013 1:04,50000,13
8/21/2013 1:04,50000,13
8/21/2013 1:04,50000,14
8/21/2013 1:04,50000,15
8/21/2013 1:04,50000,15
8/21/2013 1:04,50000,13
8/21/2013 1:04,50000,12
8/21/2013 1:04,50000,14
8/21/2013 1:04,50000,14
8/21/2013 1:04,60000,13
8/21/2013 1:04,60000,13
8/21/2013 1:04,60000,14
8/21/2013 1:04,60000,15
8/21/2013 1:04,60000,14
8/21/2013 1:04,60000,14
8/21/2013 1:04,60000,14
8/21/2013 1:04,60000,13
8/21/2013 1:04,60000,15
8/21/2013 1:04,60000,14
8/21/2013 1:04,70000,14
8/21/2013 1:04,70000,15
8/21/2013 1:04,70000,15
8/21/2013 1:04,70000,14
8/21/2013 1:04,70000,14
8/21/2013 1:04,70000,14
8/21/2013 1:04,70000,15
8/21/2013 1:04,70000,15
8/21/2013 1:04,70000,15
8/21/2013 1:04,70000,14
8/21/2013 1:04,80000,16
8/21/2013 1:04,80000,16
8/21/2013 1:04,80000,18
8/21/2013 1:04,80000,13
8/21/2013 1:04,80000,17
8/21/2013 1:04,80000,18
8/21/2013 1:04,80000,14
8/21/2013 1:04,80000,16
8/21/2013 1:04,80000,15
8/21/2013 1:04,80000,16
8/21/2013 1:04,90000,17
8/21/2013 1:04,90000,19
8/21/2013 1:04,90000,18
8/21/2013 1:04,90000,14
8/21/2013 1:04,90000,17
8/21/2013 1:04,90000,19
8/21/2013 1:04,90000,16
8/21/2013 1:04,90000,15
8/21/2013 1:04,90000,15
8/21/2013 1:04,90000,14
8/21/2013 1:04,100000,18
8/21/2013 1:04,100000,19
8/21/2013 1:04,100000,20
8/21/2013 1:04,100000,16
8/21/2013 1:04,100000,17
8/21/2013 1:04,100000,19
8/21/2013 1:04,100000,15
8/21/2013 1:04,100000,17
8/21/2013 1:04,100000,21
8/21/2013 1:04,100000,15
8/21/2013 1:04,100000,19
8/21/2013 1:04,100000,21
8/21/2013 1:04,100000,19
8/21/2013 1:04,100000,17
8/21/2013 1:04,100000,17
8/21/2013 1:04,100000,19
8/21/2013 1:04,100000,15
8/21/2013 1:04,100000,18
8/21/2013 1:04,100000,18
8/21/2013 1:04,100000,13
8/21/2013 1:04,200000,25
8/21/2013 1:04,200000,26
8/21/2013 1:04,200000,27
8/21/2013 1:04,200000,27
8/21/2013 1:04,200000,22
8/21/2013 1:04,200000,21
8/21/2013 1:04,200000,26
8/21/2013 1:04,200000,21
8/21/2013 1:04,200000,22
8/21/2013 1:05,200000,26
8/21/2013 1:05,300000,26
8/21/2013 1:05,300000,27
8/21/2013 1:05,300000,28
8/21/2013 1:05,300000,26
8/21/2013 1:05,300000,27
8/21/2013 1:05,300000,37
8/21/2013 1:05,300000,28
8/21/2013 1:05,300000,29
8/21/2013 1:05,300000,28
8/21/2013 1:05,300000,26
8/21/2013 1:05,400000,34
8/21/2013 1:05,400000,36
8/21/2013 1:05,400000,32
8/21/2013 1:05,400000,35
8/21/2013 1:05,400000,39
8/21/2013 1:05,400000,31
8/21/2013 1:05,400000,35
8/21/2013 1:05,400000,29
8/21/2013 1:05,400000,34
8/21/2013 1:05,400000,38
8/21/2013 1:05,500000,35
8/21/2013 1:05,500000,36
8/21/2013 1:05,500000,32
8/21/2013 1:05,500000,32
8/21/2013 1:05,500000,37
8/21/2013 1:05,500000,31
8/21/2013 1:05,500000,39
8/21/2013 1:05,500000,39
8/21/2013 1:05,500000,33
8/21/2013 1:05,500000,32
8/21/2013 1:05,600000,44
8/21/2013 1:05,600000,44
8/21/2013 1:05,600000,35
8/21/2013 1:05,600000,41
8/21/2013 1:05,600000,37
8/21/2013 1:05,600000,39
8/21/2013 1:05,600000,44
8/21/2013 1:05,600000,35
8/21/2013 1:05,600000,42
8/21/2013 1:05,600000,47
8/21/2013 1:05,700000,47
8/21/2013 1:05,700000,48
8/21/2013 1:05,700000,40
8/21/2013 1:05,700000,49
8/21/2013 1:05,700000,38
8/21/2013 1:05,700000,43
8/21/2013 1:05,700000,50
8/21/2013 1:05,700000,36
8/21/2013 1:05,700000,42
8/21/2013 1:05,700000,51
8/21/2013 1:05,800000,53
8/21/2013 1:05,800000,48
8/21/2013 1:05,800000,58
8/21/2013 1:05,800000,46
8/21/2013 1:05,800000,35
8/21/2013 1:05,800000,50
8/21/2013 1:05,800000,51
8/21/2013 1:05,800000,43
8/21/2013 1:05,800000,46
8/21/2013 1:05,800000,43
8/21/2013 1:05,900000,49
8/21/2013 1:05,900000,44
8/21/2013 1:05,900000,48
8/21/2013 1:05,900000,46
8/21/2013 1:05,900000,47
8/21/2013 1:06,900000,48
8/21/2013 1:06,900000,54
8/21/2013 1:06,900000,54
8/21/2013 1:06,900000,45
8/21/2013 1:06,900000,49
8/21/2013 1:06,1000000,46
8/21/2013 1:06,1000000,52
8/21/2013 1:06,1000000,60
8/21/2013 1:06,1000000,47
8/21/2013 1:06,1000000,45
8/21/2013 1:06,1000000,54
8/21/2013 1:06,1000000,51
8/21/2013 1:06,1000000,56
8/21/2013 1:06,1000000,49
8/21/2013 1:06,1000000,49
8/21/2013 1:06,1000000,58
8/21/2013 1:06,1000000,43
8/21/2013 1:06,1000000,59
8/21/2013 1:06,1000000,45
8/21/2013 1:06,1000000,49
8/21/2013 1:06,1000000,50
8/21/2013 1:06,1000000,58
8/21/2013 1:06,1000000,46
8/21/2013 1:06,1000000,56
8/21/2013 1:06,1000000,54
8/21/2013 1:06,2000000,105
8/21/2013 1:06,2000000,96
8/21/2013 1:06,2000000,101
8/21/2013 1:06,2000000,107
8/21/2013 1:06,2000000,94
8/21/2013 1:06,2000000,93
8/21/2013 1:06,2000000,91
8/21/2013 1:06,2000000,96
8/21/2013 1:06,2000000,101
8/21/2013 1:06,2000000,94
8/21/2013 1:06,3000000,117
8/21/2013 1:07,3000000,122
8/21/2013 1:07,3000000,128
8/21/2013 1:07,3000000,113
8/21/2013 1:07,3000000,132
8/21/2013 1:07,3000000,123
8/21/2013 1:07,3000000,122
8/21/2013 1:07,3000000,129
8/21/2013 1:07,3000000,123
8/21/2013 1:07,3000000,104
8/21/2013 1:07,4000000,152
8/21/2013 1:07,4000000,148
8/21/2013 1:07,4000000,150
8/21/2013 1:07,4000000,156
8/21/2013 1:07,4000000,155
8/21/2013 1:07,4000000,153
8/21/2013 1:07,4000000,164
8/21/2013 1:08,4000000,176
8/21/2013 1:08,4000000,164
8/21/2013 1:08,4000000,147
8/21/2013 1:08,5000000,211
8/21/2013 1:08,5000000,196
8/21/2013 1:08,5000000,189
8/21/2013 1:08,5000000,199
8/21/2013 1:08,5000000,183
8/21/2013 1:08,5000000,214
8/21/2013 1:08,5000000,173
8/21/2013 1:08,5000000,184
8/21/2013 1:08,5000000,212
8/21/2013 1:08,5000000,177
8/21/2013 1:09,6000000,223
8/21/2013 1:09,6000000,218
8/21/2013 1:09,6000000,230
8/21/2013 1:09,6000000,233
8/21/2013 1:09,6000000,275
8/21/2013 1:09,6000000,224
8/21/2013 1:09,6000000,241
8/21/2013 1:09,6000000,267
8/21/2013 1:10,6000000,236
8/21/2013 1:10,6000000,266
8/21/2013 1:10,7000000,270
8/21/2013 1:10,7000000,271
8/21/2013 1:10,7000000,311
8/21/2013 1:10,7000000,319
8/21/2013 1:10,7000000,248
8/21/2013 1:10,7000000,265
8/21/2013 1:11,7000000,308
8/21/2013 1:11,7000000,272
8/21/2013 1:11,7000000,273
8/21/2013 1:11,7000000,259
8/21/2013 1:11,8000000,376
8/21/2013 1:11,8000000,340
8/21/2013 1:12,8000000,277
8/21/2013 1:12,8000000,291
8/21/2013 1:12,8000000,346
8/21/2013 1:12,8000000,363
8/21/2013 1:12,8000000,271
8/21/2013 1:12,8000000,272
8/21/2013 1:12,8000000,352
8/21/2013 1:13,8000000,330
8/21/2013 1:13,9000000,339
8/21/2013 1:13,9000000,368
8/21/2013 1:13,9000000,415
8/21/2013 1:13,9000000,347
8/21/2013 1:13,9000000,344
8/21/2013 1:14,9000000,420
8/21/2013 1:14,9000000,353
8/21/2013 1:14,9000000,404
8/21/2013 1:14,9000000,378
8/21/2013 1:14,9000000,398
8/21/2013 1:15,10000000,435
8/21/2013 1:15,10000000,452
8/21/2013 1:15,10000000,462
8/21/2013 1:15,10000000,361
8/21/2013 1:15,10000000,363
8/21/2013 1:16,10000000,434
8/21/2013 1:16,10000000,379
8/21/2013 1:16,10000000,456
8/21/2013 1:16,10000000,458
8/21/2013 1:16,10000000,493
8/21/2013 1:17,10000000,445
8/21/2013 1:17,10000000,445
8/21/2013 1:17,10000000,448
8/21/2013 1:17,10000000,408
8/21/2013 1:17,10000000,465
8/21/2013 1:18,10000000,473
8/21/2013 1:18,10000000,477
8/21/2013 1:18,10000000,457
8/21/2013 1:18,10000000,427
8/21/2013 1:18,10000000,418
8/21/2013 1:19,20000000,777
8/21/2013 1:19,20000000,860
8/21/2013 1:20,20000000,937
8/21/2013 1:20,20000000,1002
8/21/2013 1:21,20000000,857
8/21/2013 1:21,20000000,784
8/21/2013 1:21,20000000,969
8/21/2013 1:22,20000000,956
8/21/2013 1:22,20000000,745
8/21/2013 1:23,20000000,997
8/21/2013 1:23,30000000,1511
8/21/2013 1:24,30000000,1566
8/21/2013 1:24,30000000,1225
8/21/2013 1:25,30000000,1210
8/21/2013 1:26,30000000,1415
8/21/2013 1:26,30000000,1427
8/21/2013 1:27,30000000,1183
8/21/2013 1:27,30000000,1460
8/21/2013 1:28,30000000,1650
8/21/2013 1:29,30000000,1498
8/21/2013 1:30,40000000,2082
8/21/2013 1:30,40000000,1675
8/21/2013 1:31,40000000,1704
8/21/2013 1:32,40000000,2207
8/21/2013 1:33,40000000,1497
8/21/2013 1:34,40000000,1840
8/21/2013 1:35,40000000,1640
8/21/2013 1:35,40000000,1990
8/21/2013 1:36,40000000,2019
8/21/2013 1:37,40000000,1727
8/21/2013 1:38,50000000,2568
8/21/2013 1:39,50000000,2704
8/21/2013 1:40,50000000,2622
8/21/2013 1:41,50000000,2717
8/21/2013 1:42,50000000,2762
8/21/2013 1:44,50000000,2729
8/21/2013 1:45,50000000,1938
