t,n,SortTime,CombineTime,TotalTime
2,10000,1909039,256786,2165825
2,10000,2068334,330867,2399201
2,10000,1837218,252131,2089349
2,10000,2522569,475276,2997845
2,10000,1750810,367492,2118302
2,10000,1970733,262061,2232794
2,10000,2597690,501822,3099512
2,10000,1824180,276604,2100784
2,10000,1590422,279555,1869977
2,10000,1955668,254944,2210612
2,20000,3132583,535002,3667585
2,20000,3709666,854620,4564286
2,20000,3141007,611948,3752955
2,20000,3159515,523868,3683383
2,20000,3299709,592953,3892662
2,20000,3316882,637966,3954848
2,20000,3172713,518942,3691655
2,20000,3550644,855357,4406001
2,20000,3214132,479254,3693386
2,20000,3178419,525022,3703441
2,30000,5159408,950457,6109865
2,30000,5073403,1026911,6100314
2,30000,4978310,1714790,6693100
2,30000,5072925,937538,6010463
2,30000,5127358,2590136,7717494
2,30000,4980925,958855,5939780
2,30000,4969179,2535113,7504292
2,30000,4858791,877277,5736068
2,30000,5012202,2382564,7394766
2,30000,5029267,995232,6024499
2,40000,6947827,1073196,8021023
2,40000,7142555,1113271,8255826
2,40000,7183388,1064800,8248188
2,40000,7677422,1356534,9033956
2,40000,7042022,1121061,8163083
2,40000,7268289,1074867,8343156
2,40000,7166504,1035927,8202431
2,40000,6677294,1065864,7743158
2,40000,7066855,1012671,8079526
2,40000,7044772,1021517,8066289
2,50000,9113035,1444454,10557489
2,50000,8610304,1599836,10210140
2,50000,8701110,1380900,10082010
2,50000,8979356,1398538,10377894
2,50000,8840899,1400058,10240957
2,50000,8737777,1375083,10112860
2,50000,8546787,3726736,12273523
2,50000,8591794,1479478,10071272
2,50000,8941958,1321384,10263342
2,50000,9901889,1312570,11214459
2,60000,10699569,1700027,12399596
2,60000,10612760,1619324,12232084
2,60000,10740675,1646751,12387426
2,60000,10593926,1451471,12045397
2,60000,10673222,1450705,12123927
2,60000,10617399,1604320,12221719
2,60000,10794842,1550453,12345295
2,60000,10443508,1472610,11916118
2,60000,10560395,1746088,12306483
2,60000,10735821,1526739,12262560
2,70000,12562843,1764190,14327033
2,70000,12707256,1718485,14425741
2,70000,14353810,1815345,16169155
2,70000,12404109,1849554,14253663
2,70000,13702481,1984292,15686773
2,70000,12846896,1963213,14810109
2,70000,13624121,1829672,15453793
2,70000,12704089,1792644,14496733
2,70000,24592892,1930295,26523187
2,70000,13570458,1759416,15329874
2,80000,14587181,2089624,16676805
2,80000,15906714,1904676,17811390
2,80000,14772103,2073815,16845918
2,80000,14662787,2059230,16722017
2,80000,28591207,2045423,30636630
2,80000,14534195,1991224,16525419
2,80000,14375228,2097259,16472487
2,80000,14421982,2086794,16508776
2,80000,14307493,1937260,16244753
2,80000,14837675,2068935,16906610
2,90000,19203832,2697117,21900949
2,90000,18189749,2285216,20474965
2,90000,16275613,2405857,18681470
2,90000,32247107,2372052,34619159
2,90000,16279428,2334658,18614086
2,90000,16358822,2212053,18570875
2,90000,16302397,2357753,18660150
2,90000,18248944,2409905,20658849
