ExecuteDtTm,t,n,SortTime,CombineTime
09/03/2013 05:57:11,1,1000,17,15
09/03/2013 05:57:14,1,1000,1015,16
09/03/2013 05:57:16,1,1000,16,17
09/03/2013 05:57:18,1,1000,16,17
09/03/2013 05:57:20,1,1000,16,15
09/03/2013 05:57:22,1,1000,16,16
09/03/2013 05:57:24,1,1000,16,17
09/03/2013 05:57:25,1,1000,17,17
09/03/2013 05:57:27,1,1000,16,15
09/03/2013 05:57:30,1,1000,16,17
09/03/2013 05:57:32,1,2000,20,28
09/03/2013 05:57:34,1,2000,20,26
09/03/2013 05:57:36,1,2000,20,26
09/03/2013 05:57:38,1,2000,19,30
09/03/2013 05:57:41,1,2000,1020,27
09/03/2013 05:57:42,1,2000,20,28
09/03/2013 05:57:44,1,2000,19,25
09/03/2013 05:57:46,1,2000,20,28
09/03/2013 05:57:48,1,2000,19,29
09/03/2013 05:57:51,1,2000,1017,27
09/03/2013 05:57:53,1,3000,21,36
09/03/2013 05:57:55,1,3000,23,38
09/03/2013 05:57:57,1,3000,20,39
09/03/2013 05:57:59,1,3000,21,38
09/03/2013 05:58:00,1,3000,23,36
09/03/2013 05:58:02,1,3000,23,38
09/03/2013 05:58:04,1,3000,24,35
09/03/2013 05:58:06,1,3000,23,38
09/03/2013 05:58:08,1,3000,27,34
09/03/2013 05:58:10,1,3000,23,38
09/03/2013 05:58:13,1,4000,27,46
09/03/2013 05:58:15,1,4000,24,46
09/03/2013 05:58:17,1,4000,26,46
09/03/2013 05:58:19,1,4000,24,44
09/03/2013 05:58:21,1,4000,27,45
09/03/2013 05:58:22,1,4000,26,45
09/03/2013 05:58:25,1,4000,1026,46
09/03/2013 05:58:27,1,4000,26,45
09/03/2013 05:58:30,1,4000,25,47
09/03/2013 05:58:32,1,4000,24,43
09/03/2013 05:58:34,1,5000,29,54
09/03/2013 05:58:36,1,5000,28,52
09/03/2013 05:58:38,1,5000,27,50
09/03/2013 05:58:40,1,5000,29,52
09/03/2013 05:58:43,1,5000,1025,53
09/03/2013 05:58:45,1,5000,27,51
09/03/2013 05:58:46,1,5000,30,52
