,n,TotalTime
8/22/2013 10:40,10000,5
8/22/2013 10:40,10000,4
8/22/2013 10:40,10000,5
8/22/2013 10:40,10000,4
8/22/2013 10:40,10000,5
8/22/2013 10:40,10000,4
8/22/2013 10:40,10000,4
8/22/2013 10:40,10000,5
8/22/2013 10:40,10000,4
8/22/2013 10:40,10000,4
8/22/2013 10:40,20000,8
8/22/2013 10:40,20000,8
8/22/2013 10:40,20000,9
8/22/2013 10:40,20000,8
8/22/2013 10:40,20000,9
8/22/2013 10:40,20000,8
8/22/2013 10:40,20000,8
8/22/2013 10:40,20000,9
8/22/2013 10:40,20000,8
8/22/2013 10:40,20000,8
8/22/2013 10:40,30000,11
8/22/2013 10:40,30000,11
8/22/2013 10:40,30000,13
8/22/2013 10:40,30000,11
8/22/2013 10:40,30000,11
8/22/2013 10:40,30000,11
8/22/2013 10:40,30000,11
8/22/2013 10:40,30000,13
8/22/2013 10:40,30000,11
8/22/2013 10:40,30000,11
8/22/2013 10:40,40000,15
8/22/2013 10:40,40000,14
8/22/2013 10:40,40000,14
8/22/2013 10:40,40000,15
8/22/2013 10:40,40000,14
8/22/2013 10:40,40000,16
8/22/2013 10:40,40000,15
8/22/2013 10:40,40000,15
8/22/2013 10:40,40000,14
8/22/2013 10:40,40000,16
8/22/2013 10:40,50000,18
8/22/2013 10:40,50000,16
8/22/2013 10:40,50000,18
8/22/2013 10:40,50000,16
8/22/2013 10:40,50000,15
8/22/2013 10:40,50000,15
8/22/2013 10:40,50000,17
8/22/2013 10:40,50000,17
8/22/2013 10:40,50000,16
8/22/2013 10:40,50000,17
8/22/2013 10:40,60000,16
8/22/2013 10:40,60000,21
8/22/2013 10:40,60000,19
8/22/2013 10:40,60000,18
8/22/2013 10:40,60000,20
8/22/2013 10:40,60000,17
8/22/2013 10:40,60000,19
8/22/2013 10:40,60000,20
8/22/2013 10:40,60000,15
8/22/2013 10:40,60000,17
8/22/2013 10:40,70000,18
8/22/2013 10:40,70000,17
8/22/2013 10:40,70000,20
8/22/2013 10:41,70000,18
8/22/2013 10:41,70000,21
8/22/2013 10:41,70000,21
8/22/2013 10:41,70000,19
8/22/2013 10:41,70000,19
8/22/2013 10:41,70000,20
8/22/2013 10:41,70000,21
8/22/2013 10:41,80000,25
8/22/2013 10:41,80000,22
8/22/2013 10:41,80000,23
8/22/2013 10:41,80000,18
8/22/2013 10:41,80000,20
8/22/2013 10:41,80000,22
8/22/2013 10:41,80000,20
8/22/2013 10:41,80000,24
8/22/2013 10:41,80000,21
8/22/2013 10:41,80000,18
