t,n,SortTime,CombineTime
1,10000,12259529,181770
1,10000,13710796,198616
1,10000,11405200,178697
1,10000,12451856,177129
1,10000,12713182,181571
1,10000,13187529,181364
1,10000,13347823,177242
1,10000,13101208,185576
1,10000,12710598,191590
1,10000,13283710,183533
1,20000,20573061,360086
1,20000,20943546,344303
1,20000,23517744,347132
1,20000,21420223,386090
1,20000,21409554,375585
1,20000,20617839,339851
1,20000,20804069,343950
1,20000,20871144,350264
1,20000,21661896,337269
1,20000,20817098,354652
1,30000,31342539,986558
1,30000,28595002,865364
1,30000,31203020,1249157
1,30000,28180364,1407269
1,30000,31846827,1212573
1,30000,32635837,1104423
1,30000,30644614,998330
1,30000,30046403,1356782
1,30000,30967943,846461
1,30000,30881132,869437
1,40000,41178529,915142
1,40000,39477760,1064852
1,40000,35975349,1562939
1,40000,40745345,1392150
1,40000,35911548,1159843
1,40000,35224046,1153867
1,40000,37264314,1513804
1,40000,37586803,1174467
1,40000,45736145,1561357
1,40000,42596081,1498405
1,50000,50318902,809905
1,50000,44733993,787872
1,50000,47504573,829258
1,50000,48750640,828007
1,50000,47778879,609650
1,50000,48731810,816407
1,50000,47300565,815607
1,50000,44695507,815585
1,50000,48900057,849122
1,50000,48377902,839895
1,60000,51829015,999406
1,60000,57254816,982148
1,60000,58796771,995896
1,60000,57727276,724574
1,60000,52084351,986239
1,60000,55917467,805157
1,60000,51987568,977447
1,60000,50197729,969048
1,60000,58207774,982496
1,60000,58789023,1053794
1,70000,64286987,1160020
1,70000,61177780,849179
1,70000,68074506,1162579
1,70000,67989807,863050
1,70000,57706312,1165703
1,70000,61946447,856397
1,70000,64112761,1152904
1,70000,67126449,1143704
1,70000,63445232,1165380
1,70000,64147803,1191587
1,80000,70247182,1296412
1,80000,75327652,963852
1,80000,70774276,1316721
1,80000,71445608,1304264
1,80000,72617779,959241
1,80000,69246991,948598
1,80000,70500218,1320856
1,80000,76113384,978252
1,80000,74064038,1131603
1,80000,75201539,1340098
1,90000,80422820,1455999
1,90000,79875552,1475516
1,90000,73129497,1454774
1,90000,79367281,1468047
1,90000,84810586,1477699
1,90000,82757688,1470148
1,90000,84567974,1298993
1,90000,80046178,1459968
1,90000,78645379,1443566
1,90000,81651203,1374648
1,100000,89211398,1276594
1,100000,86328496,1581160
1,100000,86267630,1648709
1,100000,82946749,1638637
1,100000,89407825,1229007
1,100000,97593892,1647042
1,100000,81643801,1632417
1,100000,86984210,1236046
1,100000,90678958,1228280
1,100000,87517022,1647093
1,100000,85810754,1211025
1,100000,85088864,1639976
1,100000,78998737,1506971
1,100000,92265915,1649198
1,100000,94526856,1229924
1,100000,89730441,1631794
1,100000,83683335,1499073
1,100000,86874214,1174443
1,100000,83519036,1626309
1,100000,87766197,1657496
1,200000,159642931,1881851
1,200000,158120987,1985362
1,200000,158334152,2029231
1,200000,162504346,2040859
1,200000,157353940,2076634
1,200000,156353918,1987330
1,200000,159354009,2008269
1,200000,167906275,2150688
1,200000,159631303,1993388
1,200000,155440239,1993293
1,300000,231499242,3651155
1,300000,236853730,4255091
1,300000,250319791,3567807
1,300000,251302852,4360988
