n,TotalTime
10000,3027032
10000,3028025
10000,3068286
10000,2981453
10000,3028132
10000,3063464
10000,3036456
10000,3068732
10000,3031819
10000,3030427
20000,6507884
20000,6500539
20000,6447782
20000,6523145
20000,6444068
20000,6463215
20000,6548329
20000,6435742
20000,6430039
20000,6433633
30000,10068712
30000,10067053
30000,10152738
30000,10159829
30000,10076731
30000,10074526
30000,10160060
30000,10062749
30000,10046548
30000,10071647
40000,13765046
40000,13754050
40000,13918895
40000,13945015
40000,13825494
40000,13908377
40000,13885606
40000,13836574
40000,13972504
40000,13904748
50000,17569327
50000,17786922
50000,17688757
50000,17575988
50000,17816470
50000,17723255
50000,17624252
50000,17546368
50000,17731717
50000,17612388
60000,21641665
60000,21482752
60000,21534128
60000,21678822
60000,21460930
60000,21452920
60000,21572409
60000,21639019
60000,21491323
60000,21423218
70000,25454086
70000,25650638
70000,25587047
70000,25518633
70000,25464099
70000,25601852
70000,25681023
70000,25648503
70000,25678808
70000,25694465
80000,29392494
80000,29570946
80000,29645168
80000,29363837
80000,29481756
80000,29402859
80000,29451721
80000,29342260
80000,29588486
80000,29745984
90000,33470076
90000,33691762
90000,33601477
90000,33598680
90000,33476261
90000,33701669
90000,33576422
90000,33457691
90000,33374191
90000,33400419
100000,37724567
100000,37385429
100000,37635253
100000,37336809
100000,37393816
100000,37874500
100000,37735239
100000,37435857
100000,37749605
100000,37744622
100000,37763752
100000,37433639
100000,37302470
100000,37613377
100000,37591648
100000,37249375
100000,37404406
100000,37409801
100000,37402036
100000,37580220
200000,79354496
200000,80040312
200000,79589295
200000,79645071
200000,79911357
200000,79674197
200000,79358201
200000,79393418
200000,80006529
200000,80175117
300000,124294983
300000,122966093
300000,124224299
300000,123079451
300000,124245180
300000,123111771
300000,123112757
300000,124873327
300000,124123602
300000,124769647
400000,169535164
400000,169387436
400000,169750880
400000,168414438
400000,167816360
400000,169409811
400000,167780481
400000,167859601
400000,169396217
400000,169571751
500000,215576382
500000,215780975
500000,215781247
500000,213712810
500000,213598490
500000,213088252
500000,213393509
500000,215399325
500000,215413986
500000,213075432
600000,262617980
600000,262629610
600000,262464078
600000,260166966
600000,259809410
600000,259930560
600000,259800820
600000,260324314
600000,262551929
600000,259786338
700000,309626067
700000,309772623
700000,306956441
700000,306648711
700000,309608990
700000,309660560
700000,309319631
700000,306715134
700000,306609660
700000,309730174
800000,354001762
800000,353935731
800000,357164638
800000,354046892
800000,356898095
800000,355431066
800000,356787768
800000,357433339
800000,354317796
800000,357540784
900000,405658175
900000,405506404
900000,401590573
900000,403147468
900000,405944726
900000,402006551
900000,401785865
900000,405736359
900000,401927114
900000,402265526
1000000,449869507
1000000,449668565
1000000,454556024
1000000,450023878
1000000,453712832
1000000,449924101
1000000,449825552
1000000,449522614
1000000,450215715
1000000,450540423
1000000,454692403
1000000,454598252
1000000,449867017
1000000,451572758
1000000,454317974
1000000,455036873
1000000,449941148
1000000,451349338
1000000,453094395
1000000,450966198
2000000,946367083
2000000,954320385
2000000,947198316
2000000,955650459
2000000,943166975
2000000,947174767
2000000,946137570
2000000,947430148
2000000,957936096
2000000,957895461
3000000,1460202527
3000000,1462006545
3000000,1474554901
3000000,1475180321
3000000,1458599129
3000000,1474533493
3000000,1473466630
3000000,1473908621
3000000,1474485180
3000000,1475885896
4000000,2001034315
4000000,2005698819
4000000,2008518211
4000000,2005938599
4000000,2009128524
4000000,2003575074
4000000,2005886021
4000000,2005902414
4000000,1985010328
4000000,2006178938
5000000,2524017528
5000000,2526012274
5000000,2546052457
5000000,2520019127
5000000,2517960293
5000000,2545704984
5000000,2519587132
5000000,2523294687
5000000,2542995959
5000000,2524550895
6000000,3091413072
6000000,3061382360
6000000,3097954628
6000000,3061990987
6000000,3062716969
6000000,3071547733
6000000,3062272876
6000000,3096974579
6000000,3091564497
6000000,3092668652
7000000,3617939398
7000000,3609637842
7000000,3643287661
7000000,3609548308
7000000,3645215911
7000000,3641492839
7000000,3643837417
7000000,3625035777
7000000,3631797958
7000000,3622049286
8000000,4200448948
8000000,4196131503
8000000,4196314041
8000000,4205399535
8000000,4200021541
8000000,4159360182
8000000,4201100179
8000000,4190235936
8000000,4165103644
8000000,4159742952
9000000,4720854229
9000000,4765419317
9000000,4761151336
9000000,4716893667
9000000,4770728212
9000000,4716735761
9000000,4713996840
9000000,4718533734
9000000,4716035893
9000000,4764610781
10000000,5293165227
10000000,5329354289
10000000,5330012301
10000000,5330848546
10000000,5327280591
10000000,5335477888
10000000,5283497066
