n,t,2,4,6,8,10,TotalTime
20000,12,124.7,117.7,106.1,107.125,133.9,133.9
40000,12,139.3,124.5,120.1,119.3,149.8,149.8
60000,12,147.5,134.5,126.7,131.1,162.8,162.8
80000,12,154.2,143.6,143.3,144.8,170.1,170.1
100000,12,165.7,153,155.4,156.9,180.1,180.1
200000,12,192.1,194,203.5,209.4,224.7,224.7
400000,12,279.125,264.3,263.3,281.4,342.6,342.6
600000,12,356,331.3,356.7,373,439.5,439.5
800000,12,401.1111111,380.9,387.9,432.6,509.5,509.5
1000000,12,477.6,433.5,453.7,483.4,588,588
2000000,12,732.8,711.5,759.5,797.3,1060.9,1060.9
4000000,12,1426.6,1250.2,1378.3,1458.7,1900.1,1900.1
6000000,12,2110.5,1980.9,1880.9,2079,2719.8,2719.8
8000000,12,2625.6,2492.7,2726,2736.9,3497.9,3497.9
10000000,12,3484.9,3313.3,3668.9,3661.6,4477,4477
20000000,12,7031.1,6461.7,7042.3,7208.7,8236.3,8236.3
40000000,12,13233.9,12726.1,13539.8,14524.9,16667.5,16667.5
60000000,12,18923.3,18489.1,21691.5,20865.6,24611.3,24611.3
80000000,12,25661.7,26440.3,27815.5,29267.3,34410.9,34410.9
100000000,12,31466,32001.5,25719,37702.2,41680.8,41680.8
